Word,Count
Maybe,602
Then,605
Nice,613
Hope,613
Little,620
Because,633
Get,635
"You,",651
More,663
All,689
When,690
One,699
Now,700
Much,723
Need,733
Did,738
Make,770
Going,803
Home,836
Sorry,848
There,862
They,876
Bit,883
Will,907
Could,908
She,918
Don’t,922
Lot,924
^^',929
Some,948
Wish,955
Miss,975
You're,998
That's,1004
Really,1054
Feel,1204
Can,1243
Are,1249
This,1252
Know,1294
It’s,1363
Okay,1367
Don't,1483
How,1518
Just,1567
What,1588
Would,1682
Think,1692
Was,1749
It's,1794
About,1809
Good,1952
Have,2326
Honey,2423
Want,2484
Not,2486
With,2589
Your,2716
Too,2903
For,3010
I'm,3169
Like,3211
But,3384
That,4278
Love,4547
The,4930
And,7125
You,15925
