Word,Count
get,632
It's,648
"you,",651
more,653
all,662
That's,663
one,682
they,691
How,709
much,722
need,731
there,737
Good,741
she,746
make,757
sorry,763
going,773
Okay,800
how,809
home,831
will,834
it’s,836
bit,883
could,890
don’t,906
some,922
lot,923
^^',929
wish,954
miss,974
what,997
really,1030
this,1044
can,1080
are,1119
it's,1145
feel,1201
good,1211
know,1294
But,1295
don't,1419
You,1446
just,1470
would,1583
think,1681
was,1724
about,1780
And,1842
but,2089
have,2201
not,2260
honey,2406
want,2482
with,2533
your,2618
too,2896
for,2927
like,3008
I'm,3061
that,4000
love,4542
the,4709
and,5282
you,14478
